A_macrophytes_species_number_msk	A_macrophytes_species_name_taxalistch	A_macrophytes_species_name_latin	A_macrophytes_taxalist_taxagroups	A_macrophytes_taxalist_taxagroups_assign	A_macrophytes_taxalist_growthform_assess_twoforms_grfo	A_macrophytes_taxalist_growthform_assess_twoforms_grfoval	A_macrophytes_taxalist_growthform	A_macrophytes_taxalist_growthform_abbrev	A_macrophytes_taxalist_growthform_assess	A_macrophytes_taxalist_conservationinfo	A_macrophytes_taxalist_indexspecies	A_macrophytes_taxalist_priorityspecies	A_macrophytes_taxalist_redliststatuts	A_macrophytes_taxalist_determination	A_macrophytes_taxalist_determination_trait	A_macrophytes_taxalist_phenology_trait
30000115	Sparganium 1 (erectum oder emersum, emers) 	Sparganium 1	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000116	Sparganium 2 (erectum oder emersum, submers) 	Sparganium 2	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	30000115	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000117	Sparganium 3 (angustifolium, erectum, emersum, natans, submers)	Sparganium 3	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	30000115	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
405200	Spirodela polyrhiza (L.) Schleid.	Spirodela polyrhiza (L.) Schleid.					Lemnide	Lem	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	3			1		
406400	Stachys palustris L.	Stachys palustris L.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
409700	Stratiotes aloides L.	Stratiotes aloides L.					Stratiotide	Str	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_neophyte				1		
432100	Typha angustifolia L.)	Typha angustifolia L.		30000073			Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	3			2		
432200	Typha latifolia L. 	Typha latifolia L.		30000073			Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
432300	Typha minima Hoppe	Typha minima Hoppe		30000073			Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
432400	Typha shuttleworthii W. D. J. Koch & Sond. 	Typha shuttleworthii W. D. J. Koch & Sond.		30000073			Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
30000073	Typha sp. (angustifolia, latifolia, shuttleworthii, minima)	Typha sp.	1				Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
433600	Utricularia australis R. Br.	Utricularia australis R. Br.		30000118			Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	3			3	L_macrophytes_taxalist_determination_trait_flowers	1
433700	Utricularia bremii Heer	Utricularia bremii Heer		30000119			Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	CR	3	L_macrophytes_taxalist_determination_trait_flowers	1
433800	Utricularia intermedia Hayne 	Utricularia intermedia Hayne		30000119			Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	CR	3	L_macrophytes_taxalist_determination_trait_flowers	1
433900	Utricularia minor L.	Utricularia minor L.		30000119			Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	3	L_macrophytes_taxalist_determination_trait_flowers	1
434100	Utricularia ochroleuca R. W. Hartm. 	Utricularia ochroleuca R. W. Hartm.		30000119			Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	CR	3	L_macrophytes_taxalist_determination_trait_flowers	1
434150	Utricularia stygia G. Thor	Utricularia stygia G. Thor		30000119			Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	CR	3	L_macrophytes_taxalist_determination_trait_flowers	1
434200	Utricularia vulgaris L. 	Utricularia vulgaris L.		30000118			Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_flowers	1
30000118	Utricularia australis Gruppe (vulgaris oder australis)	Utricularia australis Gruppe	1				Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	3			2		
30000119	Utricularia sp.	Utricularia sp.	1				Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	3			1		
437700	Vallisneria spiralis L.	Vallisneria spiralis L.					Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
440500	Veronica anagallis-aquatica L. 	Veronica anagallis-aquatica L.		30000120			Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_fruits	2
441000	Veronica beccabunga L.	Veronica beccabunga L.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
441300	Veronica catenata Pennell 	Veronica catenata Pennell		30000120			Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_fruits	2
443300	Veronica scutellata L.	Veronica scutellata L.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
30000120	Veronica anagallis-aquatica oder catenata (emers)	Veronica anagallis-aquatica oder catenata	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000121	Veronica anagallis-aquatica oder catenata (submers)	Veronica anagallis-aquatica oder catenata	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	30000120	Herbide	Herb	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
455700	Zannichellia palustris L.	Zannichellia palustris L.					Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
500200	Chara aspera Willd. 	Chara aspera Willd.		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	VU	4		
500600	Chara contraria Kuetz.	Chara contraria Kuetz.		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic				LC	4		
500700	Chara crassicaulis Schleich. 	Chara crassicaulis Schleich.		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					4		
500900	Chara denudata A. Braun	Chara denudata A. Braun		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					4		
501000	Chara filiformis Hertzsch	Chara filiformis Hertzsch		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					4		
501200	Chara globularis Thuill.	Chara globularis Thuill.		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					4		
501300	Chara gymnophylla A. Braun	Chara gymnophylla A. Braun		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					4		
501400	Chara hispida L. 	Chara hispida L.		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	VU	4		
501500	Chara hispidula A. Braun 	Chara hispidula A. Braun		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					4		
501700	Chara intermedia A. Braun	Chara intermedia A. Braun		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	EN	4		
502000	Chara polyacantha A. Braun 	Chara polyacantha A. Braun		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	CR	4		
502200	Chara strigosa A. Braun	Chara strigosa A. Braun		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	EN	4		
502300	Chara tenuispina A. Braun	Chara tenuispina A. Braun		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	CR	4		
502400	Chara tomentosa L.	Chara tomentosa L.		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	VU	4		
502450	Chara virgata Kuetz. 	Chara virgata Kuetz.		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	VU	4		
502500	"Chara vulgaris aggr. (Chara crassicaulis Schleich.; Chara gymnophylla A. Braun; Chara hispidula A. Braun; Chara vulgaris L.)"	Chara vulgaris aggr.	1	30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					4		
502600	Chara vulgaris L. 	Chara vulgaris L.		30000002			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	VU	4		
30000002	Chara sp. (alle Arten der Gattung Chara)	Chara sp.	1				Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					2		
50000010	Characeen (alle Arten der Gattung Chara, Nitella, Nitellopsis und Tolypella)	Characeen	1				Charide	L_macrophytes_taxalist_growthform_abbrev_chasum	L_macrophytes_taxalist_growthform_assess_aquatic					1		
503300	Nitella flexilis (L.) C. Agardh 	Nitella flexilis (L.) C. Agardh		30000004			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	CR	4		
503400	Nitella gracilis (Sm.) C. Agardh 	Nitella gracilis (Sm.) C. Agardh		30000004			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	EN	4		
503600	Nitella mucronata (A. Braun) Miq. 	Nitella mucronata (A. Braun) Miq.		30000004			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	EN	4		
503700	Nitella opaca (Bruzelius) C. Agardh 	Nitella opaca (Bruzelius) C. Agardh		30000004			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	VU	4		
503800	Nitella syncarpa (Thuill.) Chevall.	Nitella syncarpa (Thuill.) Chevall.		30000004			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	EN	4		
30000004	Nitella sp. (Nitella flexilis, gracilis, mucronata, opaca oder syncarpa)	Nitella sp.	1				Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					2		
504100	Nitellopsis obtusa (Desv.) J. Groves	Nitellopsis obtusa (Desv.) J. Groves					Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	NT	2		
504200	Tolypella glomerata (Desv.) Leonh. 	Tolypella glomerata (Desv.) Leonh.		30000005			Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	EN	4		
30000005	Tolypella sp. (alle Arten der Gattung Tolypella)	Tolypella sp.	1				Charide	L_macrophytes_taxalist_growthform_abbrev_cha	L_macrophytes_taxalist_growthform_assess_aquatic					2		
10000024	Aneura pinguis (L.) Dumort.	Aneura pinguis (L.) Dumort.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10000026	Anthelia julacea (L.) Dumort.	Anthelia julacea (L.) Dumort.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3		
10000069	Blasia pusilla L.	Blasia pusilla L.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10000709	Blindia acuta (Hedw.) Bruch & Schimp.	Blindia acuta (Hedw.) Bruch & Schimp.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10000746	Brachythecium rivulare Schimp.	Brachythecium rivulare Schimp.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10000884	Bryum gemmiparum De Not.	Bryum gemmiparum De Not.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
10001019	Calliergonella cuspidata (Hedw.) Loeske	Calliergonella cuspidata (Hedw.) Loeske					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			1		
10001039	Campylium stellatum (Hedw.) Lange & C.E.O.Jensen subsp. stellatum	Campylium stellatum (Hedw.) Lange & C.E.O.Jensen subsp. stellatum					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10001063	Catoscopium nigritum (Hedw.) Brid.	Catoscopium nigritum (Hedw.) Brid.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1		VU	2		
10000123	Chiloscyphus pallescens (Hoffm.) Dumort. 	Chiloscyphus pallescens (Hoffm.) Dumort.		10000121			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			3		
10000121	Chiloscyphus polyanthos aggr. (C. pallescens oder C. polyanthos)	Chiloscyphus polyanthos aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10002709	Chiloscyphus polyanthos (L.) Corda 	Chiloscyphus polyanthos (L.) Corda		10000121			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			3		
10001073	Cinclidotus aquaticus (Hedw.) Bruch & Schimp.	Cinclidotus aquaticus (Hedw.) Bruch & Schimp.		30000122			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		2	EN	2		
10001074	Cinclidotus danubicus Schiffn. & Baumgartner	Cinclidotus danubicus Schiffn. & Baumgartner		30000122			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3			2		
10001075	Cinclidotus fontinaloides (Hedw.) P.Beauv. 	Cinclidotus fontinaloides (Hedw.) P.Beauv.		30000122			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10001079	Cinclidotus riparius (Brid.) Arn.	Cinclidotus riparius (Brid.) Arn.		30000122			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000122	Cinclidotus sp. (C. aquaticus oder C. danubicus oder C. fontnaloides oder C. riparius)	Cinclidotus sp.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			1		
10001099	Climacium dendroides (Hedw.) F.Weber & D.Mohr	Climacium dendroides (Hedw.) F.Weber & D.Mohr					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			1		
10003290	Conocephalum conicum (L.) Dumort.	Conocephalum conicum (L.) Dumort.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10003293	Cratoneuron curvicaule (Jur.) G.Roth 	Cratoneuron curvicaule (Jur.) G.Roth		10001118			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2		DD	2		
10001118	Cratoneuron filicinum aggr. (C. curvicaule oder C. filicinum)	Cratoneuron filicinum aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10003297	Cratoneuron filicinum (Hedw.) Spruce 	Cratoneuron filicinum (Hedw.) Spruce		10001118			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10003320	Dialytrichia mucronata (Brid.) Broth.	Dialytrichia mucronata (Brid.) Broth.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
10001161	Dichodontium flavescens (Dicks.) Lindb. 	Dichodontium flavescens (Dicks.) Lindb.		10001160			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1		NE	2		
10001160	Dichodontium pellucidum aggr. (D. flavescens oder D. pellucidum)	Dichodontium pellucidum aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10003321	Dichodontium pellucidum (Hedw.) Schimp. 	Dichodontium pellucidum (Hedw.) Schimp.		10001160			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10001173	Diobelonella palustris (Dicks.) Ochyra	Diobelonella palustris (Dicks.) Ochyra					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10001259	Drepanocladus aduncus (Hedw.) Warnst.	Drepanocladus aduncus (Hedw.) Warnst.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10003415	Fissidens crassipes Bruch & Schimp. subsp. crassipes	Fissidens crassipes Bruch & Schimp. subsp. crassipes					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10001717	Fissidens fontanus (Bach.Pyl.) Steud.	Fissidens fontanus (Bach.Pyl.) Steud.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001378	Fissidens grandifrons Brid.	Fissidens grandifrons Brid.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		1	EN	2		
10001382	Fissidens rivularis (Spruce) Schimp.	Fissidens rivularis (Spruce) Schimp.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001383	Fissidens rufulus Bruch & Schimp.	Fissidens rufulus Bruch & Schimp.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
10001401	Fontinalis antipyretica Hedw.	Fontinalis antipyretica Hedw.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			1		
10001410	Fontinalis hypnoides C.Hartm.	Fontinalis hypnoides C.Hartm.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001412	Fontinalis squamosa Hedw.	Fontinalis squamosa Hedw.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001538	Hydrogrimmia mollis (Bruch & Schimp.) Loeske	Hydrogrimmia mollis (Bruch & Schimp.) Loeske					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3			3		
10000505	Hygroamblystegium fluviatile (Hedw.) Loeske	Hygroamblystegium fluviatile (Hedw.) Loeske					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10000535	Hygroamblystegium tenax (Hedw.) Jenn.	Hygroamblystegium tenax (Hedw.) Jenn.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10001540	Hygrohypnum alpestre (Hedw.) Loeske	Hygrohypnum alpestre (Hedw.) Loeske					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001542	Hygrohypnum alpinum (Lindb.) Loeske 	Hygrohypnum alpinum (Lindb.) Loeske		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		2	EN	2		
10001543	Hygrohypnum cochlearifolium (Venturi) Broth. 	Hygrohypnum cochlearifolium (Venturi) Broth.		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		1	CR	2		
10001545	Hygrohypnum duriusculum (De Not.) D.W.Jamieson 	Hygrohypnum duriusculum (De Not.) D.W.Jamieson		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3		NT	2		
10001547	Hygrohypnum eugyrium (Schimp.) Broth. 	Hygrohypnum eugyrium (Schimp.) Broth.		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001549	Hygrohypnum luridum (Hedw.) Jenn. 	Hygrohypnum luridum (Hedw.) Jenn.		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10001553	Hygrohypnum molle (Hedw.) Loeske 	Hygrohypnum molle (Hedw.) Loeske		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		3	VU	2		
10001554	Hygrohypnum norvegicum (Schimp.) J.J.Amann 	Hygrohypnum norvegicum (Schimp.) J.J.Amann		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		2	VU	2		
10001556	Hygrohypnum ochraceum (Wilson) Loeske 	Hygrohypnum ochraceum (Wilson) Loeske		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001557	Hygrohypnum smithii (Sw.) Broth. 	Hygrohypnum smithii (Sw.) Broth.		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
10001559	Hygrohypnum styriacum (Limpr.) Broth. 	Hygrohypnum styriacum (Limpr.) Broth.		30000123			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
30000123	Hygrohypnum sp.	Hygrohypnum sp.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			1		
10004408	Hymenostylium recurvirostrum (Hedw.) Dixon	Hymenostylium recurvirostrum (Hedw.) Dixon					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
